,0
0,17
1,15
2,19
3,18
4,12
5,22
6,15
7,25
8,22
9,23
10,21
11,23
12,24
13,24
14,28
15,26
16,28
17,28
18,35
19,31
20,28
21,29
22,27
23,23
24,23
25,23
26,19
27,26
28,22
29,21
30,17
31,8
32,11
33,14
34,10
35,14
36,9
37,13
38,17
39,16
40,13
41,11
42,13
43,9
44,13
45,14
46,5
47,11
48,7
49,10
50,12
51,13
52,15
53,13
54,20
55,21
56,22
57,18
58,18
59,19
60,21
61,25
62,22
63,25
64,25
65,23
66,26
67,24
68,26
69,30
70,20
71,28
72,18
73,25
74,28
75,30
76,30
77,25
78,25
79,19
80,16
81,20
82,19
83,16
84,18
85,17
86,16
87,14
88,19
89,13
90,7
91,16
92,9
93,13
94,15
95,22
96,21
97,18
98,17
99,21
100,18
101,16
102,12
103,22
104,26
105,24
106,14
107,20
108,21
109,41
110,27
111,24
112,27
113,25
114,25
115,30
116,30
117,25
118,26
119,31
120,26
121,30
122,28
123,30
124,27
125,22
126,23
127,28
128,26
129,22
130,20
131,22
132,28
133,18
134,11
135,12
136,3
137,15
138,8
139,11
140,9
141,14
142,14
143,13
144,10
145,12
146,12
147,13
148,6
149,9
150,4
151,9
152,15
153,18
154,12
155,13
156,14
157,15
158,13
159,40
160,35
161,23
162,19
163,30
164,22
165,27
166,26
167,25
168,18
169,27
170,23
171,23
172,24
173,26
174,18
175,23
176,29
177,23
178,25
179,22
180,21
181,22
182,15
183,19
184,22
185,23
186,24
187,17
188,6
189,21
190,8
191,9
192,14
193,13
194,11
195,8
196,7
197,9
198,12
199,12
200,12
201,14
202,12
203,13
204,16
205,18
206,18
207,18
208,12
209,21
210,15
211,22
212,21
213,18
214,23
215,23
216,27
217,26
218,25
219,23
220,24
221,24
222,25
223,28
224,23
225,25
226,26
227,23
228,23
229,24
230,26
231,23
232,23
233,29
234,22
235,26
236,25
237,29
238,23
239,19
240,15
241,19
242,12
243,17
244,12
245,9
246,10
247,14
248,10
249,8
250,11
251,11
252,14
253,9
254,6
255,20
256,26
257,18
258,16
259,15
260,6
261,4
262,4
263,2
264,2
265,5
266,4
267,5
268,2
269,3
270,4
271,3
272,5
273,2
274,0
275,3
276,5
277,5
278,7
279,2
280,5
281,7
282,5
283,8
284,7
285,6
286,5
287,4
288,7
289,4
290,5
291,4
292,4
293,6
294,4
295,7
296,5
297,5
298,6
299,5
300,5
301,4
302,5
303,4
304,6
305,0
306,2
307,4
308,4
309,1
310,3
311,0
312,2
313,1
314,1
315,3
316,2
317,3
318,3
319,3
320,3
321,3
322,3
323,4
324,3
325,4
326,3
327,5
328,6
329,4
330,3
331,4
332,6
333,7
334,6
335,6
336,4
337,4
338,6
339,5
340,4
341,4
342,4
343,4
344,7
345,4
346,5
347,3
348,5
349,2
350,3
351,5
352,2
353,5
354,5
355,4
356,5
357,2
358,3
359,2
360,3
361,3
362,3
363,3
364,4
365,1
366,2
367,4
368,6
369,2
370,2
371,1
372,3
373,3
374,4
375,4
376,3
377,4
378,2
379,6
380,5
381,5
382,4
383,5
384,6
385,6
386,7
387,6
388,6
389,6
390,6
391,3
392,4
393,6
394,4
395,6
396,5
397,6
398,4
399,6
400,7
401,7
402,6
403,7
404,6
405,6
406,4
407,2
408,5
409,5
410,3
411,4
412,3
413,1
414,1
415,2
